Wave,WaveDelayMS,Zerg Zergling,Zerg Hydralisk,Zerg Broodling,Zerg Ultralisk,Protoss Dragoon,Protoss Dark Templar,Protoss Archon,Zeratul (Dark Templar),Alan Schezar (Goliath),Edmund Duke (Tank Mode),Jim Raynor (Vulture),Alexei Stukov (Ghost),Samir Duran (Ghost),Infested Duran,Terran Marine,Protoss Zealot
1,0,24,,,,,,,,,,,,,,10,
1,1500,14,,,,,,,,,,,,,,,
1,1500,14,10,,,,,,,,,,,,,,
1,1500,14,,,,,,,,,,,,,,,
1,2500,14,,,,,,,,,,,,,,,
1,2500,,20,12,1,,,,,,,,,,,10,
2,0,20,,,,,,,,,,,,,,15,
2,1000,10,,,,,,,,,,,,,,,
2,1000,10,,20,,,,,,,,,,,,,
2,2000,,24,,,,,,,,,,,,,,
2,2500,,14,,,,,,,,,,,,,,
2,2500,,14,,,,,,,,,,,,,,
2,2500,,,20,,,,,,,,,,,,15,
2,2500,,,,10,,,,,,,,,,,,
3,0,24,,,,,,,,,,,,,,,7
3,1000,14,,,,,,,,,,,,,,,7
3,1500,14,,,,,,,,,,,,,,,
3,1500,14,,,,,,,,,,,,,,,
3,2500,,24,,,,,,,,,,,,,,
3,2500,,14,,,,,,,,,,,,,,
3,2500,,14,,,,,,,,,,,,,,
3,3000,,,24,,,,,,,,,,,,,
3,3000,,,,,14,,,,,,,,,,,
3,3000,,,,,7,,,,5,,,,,,,7
3,3000,,,,,7,,,,,,,,,,,
3,3000,,,,,,,,,5,,,,,,,
3,3000,,,,,,,,,5,,,,,,,
4,0,24,,,,,,,,,,,,,,14,14
4,1000,14,,,,,,,,,,,,,,,14
4,1500,,14,,,,,,,,,,,,,14,
4,2500,,24,,,,,,,,,,,,,,
4,2500,,14,,,,,,,,,,,,,,
4,2500,,,20,,,,,,,,,,,,,
4,3000,,,20,,,,,,,,,,,,,
4,3000,,,20,,,,,,,,,,,,,
4,3000,,,,,21,,,,,,,,,,,
4,1000,,,,,14,,,,,,,,,,,
4,5000,,,,,4,,,,10,,,,,,,
4,5000,,,,,7,,,,8,,,,,,,14
4,5000,,,,,,,,,,15,,,,,,
4,5000,,,,,,,,,,15,,,,,,
4,5000,,,,,,,,,10,,,,,,,
5,0,24,,,,,,,,,,,,,,15,18
5,1000,14,,,,,,,,,,,,,,,
5,2000,,14,,,,,,,,,,,,,,
5,2000,,14,,,,,,,,,,,,,,
5,3000,,,20,,,,,,,,,,,,,
5,2500,,,,,,,,,,,,,,,15,
5,3500,,,,,14,,,,,,,,,,,
5,4500,,,,,14,,,,,,,,,,,
5,4500,,,,,,,,,,,,,,,,18
5,4500,,,,,,,,,15,,,,,,,
5,2500,,,,5,,8,,,,,,,,,,
5,2500,,,,,,6,,,,,,,,,,
6,0,,24,,,,,,,,,,,,,24,
6,2000,,14,,,,,,,,,,,,,,
6,3000,,14,,,,,,,,,,,,,,
6,4000,,,,,,,14,,,,,,,,,
6,4000,,,,,,,14,,,,,,,,,
6,4000,,,,,14,,,,,,,,,,,
6,5000,,,,,,,,,,,,,,,,20
6,7000,,,,,,,,,10,,,,,,,
6,5000,,,,,,,,,,1,5,1,,,,
7,0,,12,,,,,,,,,,,,,15,
7,1000,,14,,,,,,,,8,,,,,,
7,2000,,,24,,,,,,,8,,,,,,
7,3000,,,,,14,,,,,,,,,,,
7,2000,,,,14,,,,,,8,,,,,,
7,4000,,,,,,,15,,,,,,,,,
7,4000,,,,,,,15,,,,,,,,,25
7,5000,,,,,,10,,,10,,,,,,,
7,5000,,,,,,6,,,,8,,,,,,
8,0,,24,,,,,,,,,,,,,,24
8,2000,,,,,15,,,,,,,,,,,
8,4000,,,,14,,,,,,,,,,,,
8,4000,,,,,,,15,,,,,,,,,
8,4000,,,,,,,15,,,,,,,,,
8,5000,,,,,,,15,,,,,,,,,
8,5000,,,,,,,,,,,,6,6,,,
8,5000,,,,,,,,,,,,,6,6,15,
9,0,,12,,,,,,,,,,,,,,
9,1000,,24,,,,,,,,,,,,,,
9,1000,,24,,,,,,,,,,,,,,
9,2000,,,,,,,,,,,,,,,,20
9,5000,,,,,,,,,,,20,,,,,
9,5000,,,,,,,,,,,20,,,,,
9,5000,,,,,,,,,,,10,14,,,,
9,4000,,,,,,,,15,,,,,,,,
9,10000,,,,,,,,,,,20,,,,,
10,0,,12,,,,,,,,,,,,,,
10,1000,,24,,,,,,,,,,,,,,
10,1000,,24,,,,,,,,,,,,,,
10,2000,,,,,,,,,,,,,,,,20
10,5000,,,,,,,,,,,20,,,,,
10,5000,,,,,,,,,,,20,,,,,
10,5000,,,,,,,,,,,10,14,,,,
10,4000,,,,,,,,15,,,,,,,,
10,10000,,,,,,,,,,,20,,,,,
